№;Вопрос;Варианты ответа;Копатыч;Нюша;Крош;Совунья;Ежик;Пин;Кар-карыч;Лосяш;Бараш
1;Что вы делаете в свободное время?;Предпочитаю активный отдых на природе с друзьями;0;0;0,5;0;0,5;0;0;0;0
1;Что вы делаете в свободное время?;Просто отдыхаю;0;0,5;0;0;0;0;0,25;0;0,25
1;Что вы делаете в свободное время?;Ухаживаю за собой;0;0,75;0;0;0,25;0;0;0;0
1;Что вы делаете в свободное время?;Наводить порядок дома;0,5;0;0;0,5;0;0;0;0;0
1;Что вы делаете в свободное время?;Изучать что-то новое;0;0;0;0;0;0,25;0,25;0,5;0
1;Что вы делаете в свободное время?;Заниматься творчеством;0;0,25;0;0;0;0;0,25;0;0,5
1;Что вы делаете в свободное время?;Смотреть видео на ютубе;0;0,25;0,25;0;0,25;0;0;0,25;0
2;Как бы вы описали свой характер?;Веселый и амбициозный;0;0;0,75;0;0,25;0;0;0;0
2;Как бы вы описали свой характер?;Скромный и необщительный;0;0;0;0;1;0;0;0;0
2;Как бы вы описали свой характер?;Грустный меланхолик;0;0;0;0;0;0;0;0;1
2;Как бы вы описали свой характер?;Эстет, ценитель искусства;0;0;0;0;0;0;1;0;0
2;Как бы вы описали свой характер?;Умный и любознательный;0;0;0;0;0;0;0;1;0
2;Как бы вы описали свой характер?;Красивый, обладатель хорошего вкуса;0;1;0;0;0;0;0;0;0
2;Как бы вы описали свой характер?;Ответственный и пунктуальный;0;0;0;1;0;0;0;0;0
2;Как бы вы описали свой характер?;Креативный и изобретательный;0;0;0;0;0;1;0;0;0
3;Насколько вы активный человек?;Я домосед, люблю проводить время в спокойстви;0;0;0;0;0,5;0;0;0;0,5
3;Насколько вы активный человек?;Я настоящий авантюрист, постоянно ищу что-то новое для себя;0;0;0,5;0;0;0,5;0;0;0
3;Насколько вы активный человек?;У меня баланс, уделяю внимание всем сферам жизни;0;0;0;0,5;0;0;0,5;0;0
3;Насколько вы активный человек?;У меня нет времени на активности, я трудоголик;0,5;0;0;0;0;0;0;0,5;0
4;Какая профессия вам больше по душе?;Я хочу быть айтишником и знать все на свете;0;0;0;0;0;0;0;1;0
4;Какая профессия вам больше по душе?;Я в душе мудрая домохозяйка;0;0;0;1;0;0;0;0;0
4;Какая профессия вам больше по душе?;Хочу свой большой огород и хозяйство;1;0;0;0;0;0;0;0;0
4;Какая профессия вам больше по душе?;Я прирожденный инженер, обожаю физику и проектирование;0;0;0;0;0;1;0;0;0
4;Какая профессия вам больше по душе?;Я поэт в творческом кризисе;0;0;0;0;0;0;0;0;1
4;Какая профессия вам больше по душе?;Я артист и талантлив во всем;0;0;0;0;0;0;1;0;0
4;Какая профессия вам больше по душе?;Мечтаю ничего не делать и получать за это деньги;0;0,5;0,5;0;0;0;0;0;0
5;Какое ваше любимое блюдо?;Морковка;0;0;1;0;0;0;0;0;0
5;Какое ваше любимое блюдо?;Бутерброды ;0;0;0;0;0;0;0;1;0
5;Какое ваше любимое блюдо?;Соленья ;0;0;0;1;0;0;0;0;0
5;Какое ваше любимое блюдо?;Мед ;1;0;0;0;0;0;0;0;0
5;Какое ваше любимое блюдо?;Конфеты и тортики ;0;0,25;0;0;0,75;0;0;0;0
6;Какая фраза тебя характеризует?;“О, майн гот”;0;0;0;0;0;1;0;0;0
6;Какая фраза тебя характеризует?;“Укуси меня пчела!”;1;0;0;0;0;0;0;0;0
6;Какая фраза тебя характеризует?;“Мамма мия”;0;0;0;0;0;0;1;0;0
6;Какая фраза тебя характеризует?;“Елки-иголки”;0;0;1;0;0;0;0;0;0
6;Какая фраза тебя характеризует?;“Феноменально” ;0;0;0;0;0;0;0;1;0
6;Какая фраза тебя характеризует?;“Держите меня, я падаю”;0;1;0;0;0;0;0;0;0
6;Какая фраза тебя характеризует?;“Ай да бараш, ай да овечий сын!”;0;0;0;0;0;0;0;0;1
6;Какая фраза тебя характеризует?;“Хо-хо”;0;0;0;1;0;0;0;0;0
6;Какая фраза тебя характеризует?;"""Ох..""";0;0;0;0;1;0;0;0;0
7;Любимый цвет?;Малиновый;0;0;0;0;1;0;0;0;0
7;Любимый цвет?;Черный;0;0;0;0;0;1;0;0;0
7;Любимый цвет?;Желтый;0;0;0;0;0;0;0;1;0
7;Любимый цвет?;Фиолетовый ;0;0;0;0,5;0;0;0;0;0,5
7;Любимый цвет?;Розовый;0;1;0;0;0;0;0;0;0
7;Любимый цвет?;Синий ;0;0;0,5;0;0;0;0,5;0;0
7;Любимый цвет?;Красный;1;0;0;0;0;0;0;0;0
8;Как выглядит ваша комната?;Я люблю винтажные и аутентичные предметы декора;0;0;0;0;0;0;1;0;0
8;Как выглядит ваша комната?;Мне неважна эстетика, главное удобство и мой комфорт ;0;0;0;0;0,25;0,75;0;0;0
8;Как выглядит ваша комната?;У меня часто бывает беспорядок ;0;0;0,25;0;0;0;0;0,5;0,25
8;Как выглядит ваша комната?;Много цветов, максимально инстаграмный ремонт ;0;1;0;0;0;0;0;0;0
8;Как выглядит ваша комната?;Все разложено по местам, грамотно организовано пространство ;0;0;0;1;0;0;0;0;0
8;Как выглядит ваша комната?;Аскетично - у меня мало мебели и вещей;1;0;0;0;0;0;0;0;0
9;Чем вы будете заниматься, когда поеде отдыхать за город?;Буду помогать деду чинить жигули;0;0;0;0;0;1;0;0;0
9;Чем вы будете заниматься, когда поеде отдыхать за город?;Мне не нужен отдых за городом, у меня есть своя дача;1;0;0;0;0;0;0;0;0
9;Чем вы будете заниматься, когда поеде отдыхать за город?;Буду жарить шашлыки с друзьями ;0;0,25;0,5;0;0,25;0;0;0;0
9;Чем вы будете заниматься, когда поеде отдыхать за город?;Соберу урожай, приготовлю соленья и варение;0,5;0;0;0,5;0;0;0;0;0
9;Чем вы будете заниматься, когда поеде отдыхать за город?;Займусь спортом, устрою забег до речки;0;0;0,5;0,5;0;0;0;0;0
9;Чем вы будете заниматься, когда поеде отдыхать за город?;Буду много рефлексировать в одиночестве;0;0;0;0;0;0;0;0;1
9;Чем вы будете заниматься, когда поеде отдыхать за город?;Наделаю кучу эстетичных фотографий;0;1;0;0;0;0;0;0;0
9;Чем вы будете заниматься, когда поеде отдыхать за город?;Отличный повод насладиться природой ;0;0;0;0;0;0;1;0;0
10;Куда бы вы в первую очередь пошли в торговом центре?;В золотое яблоко;0;1;0;0;0;0;0;0;0
10;Куда бы вы в первую очередь пошли в торговом центре?;В леруа мерлен ;0,5;0;0;0;0;0,5;0;0;0
10;Куда бы вы в первую очередь пошли в торговом центре?;В читай город ;0;0;0;0;0;0;0;0;1
10;Куда бы вы в первую очередь пошли в торговом центре?;В леонардо ;0;0;0;0,5;0;0,5;0;0;0
10;Куда бы вы в первую очередь пошли в торговом центре?;Спортмастер ;0;0;1;0;0;0;0;0;0
10;Куда бы вы в первую очередь пошли в торговом центре?;Я сразу на фуд корт ;0;0;0;0;0,25;0;0,25;0,5;0
11;Какой из музыкальных исполнителей тебе больше нравится?;Михаил Круг ;1;0;0;0;0;0;0;0;0
11;Какой из музыкальных исполнителей тебе больше нравится?;Егор Крид ;0;0,5;0;0;0,5;0;0;0;0
11;Какой из музыкальных исполнителей тебе больше нравится?;Моргенштерн ;0;0;1;0;0;0;0;0;0
11;Какой из музыкальных исполнителей тебе больше нравится?;Шаман ;0;0;0;0;1;0;0;0;0
11;Какой из музыкальных исполнителей тебе больше нравится?;Ирина аллегрова ;0;0;0;1;0;0;0;0;0
11;Какой из музыкальных исполнителей тебе больше нравится?;Раммштайн ;0;0;0;0;0;1;0;0;0
11;Какой из музыкальных исполнителей тебе больше нравится?;Моцарт ;0;0;0;0;0;0;1;0;0
11;Какой из музыкальных исполнителей тебе больше нравится?;Мияги и Эндшпиль ;0;0;0;0;0;0;0;1;0
11;Какой из музыкальных исполнителей тебе больше нравится?;Анна Асти ;0;0;0;0;0;0;0;0;1
12;Какой сериал тебе больше нравится?;Постучись в мою дверь ;0;1;0;0;0;0;0;0;0
12;Какой сериал тебе больше нравится?;Любой русский сериал ;0;0;0;1;0;0;0;0;0
12;Какой сериал тебе больше нравится?;Улицы разбитых фонарей;1;0;0;0;0;0;0;0;0
12;Какой сериал тебе больше нравится?;Половое воспитание ;0;0;0;1;0;0;0;0;0
12;Какой сериал тебе больше нравится?;Очень странные дела ;0;0;0;0;1;0;0;0;0
12;Какой сериал тебе больше нравится?;13 причин почему ;0;0;0;0;0;0;0;0;1
12;Какой сериал тебе больше нравится?;Бумажный дом ;0;0;0;0;0;0;0;1;0
12;Какой сериал тебе больше нравится?;Шерлок ;0;0;0;0;0;0;1;0;0
12;Какой сериал тебе больше нравится?;Игра престолов ;0;0;0;0;0;1;0;0;0
13;Какой твой знак зодиака? ;Овен ;0;0;0;0;1;0;0;0;0
13;Какой твой знак зодиака? ;Телец ;0;0;1;0;0;0;0;0;0
13;Какой твой знак зодиака? ;Близнецы ;0;1;0;0;0;0;0;0;0
13;Какой твой знак зодиака? ;Рак ;0,5;0;0;0;0;0;0,5;0;0
13;Какой твой знак зодиака? ;Лев;0;0;0;0;0;0,5;0;0,5;0
13;Какой твой знак зодиака? ;Дева ;0;0;0;0,5;0;0;0;0,5;0
13;Какой твой знак зодиака? ;Весы;0;0;0;0;0,5;0;0;0;0,5
13;Какой твой знак зодиака? ;Скорпион ;0;0;0;0;0;0;0;1;0
13;Какой твой знак зодиака? ;Стрелец ;0;0;1;0;0;0;0;0;0
13;Какой твой знак зодиака? ;Козерог ;0;0;0;0;0;0;1;0;0
13;Какой твой знак зодиака? ;Водолей ;0;0;1;0;0;0;0;0;0
13;Какой твой знак зодиака? ;Рыбы ;0;0;0;0;0;0;0;0;1
;;;10,5;11,25;11,25;11,5;10,25;10;10,5;11,25;10,5
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
